Benchmark,Partitions,Strategy A (fatten at last),Strategy B (flatten before ABC),Strategy C (synthesis at begin)
bar,11,2170.43712,1970.74944,1989.64512
bar,12,2258.38368,1964.91744,1971.68256
bar,13,2133.81216,1962.58464,1970.51616
bar,14,2126.58048,1970.28288,1971.44928
bar,15,2069.42688,1964.91744,1977.048
bar,16,2050.76448,1962.58464,1977.51456
bar,17,2012.97312,1963.98432,1967.7168
bar,18,2088.32256,1966.08384,1970.51616
bar,19,2099.75328,1963.0512,1973.31552
bar,20,2044.93248,1968.18336,1974.01536
router,1,205.05312,204.81984,210.65184
router,2,200.38752,205.98624,210.65184
router,3,211.1184,225.58176,210.65184
router,4,230.24736,207.6192,207.6192
router,5,223.01568,215.784,210.65184
router,6,226.04832,204.12,213.21792
router,7,233.04672,200.15424,207.6192
router,8,251.47584,202.72032,207.6192
router,9,248.4432,203.18688,227.21472
router,10,233.28,211.81824,210.65184
router,11,249.84288,202.48704,211.81824
router,12,251.24256,207.6192,211.81824
router,13,232.1136,208.7856,223.9488
router,14,245.17728,199.92096,223.9488
router,15,230.48064,223.71552,207.6192
router,16,231.64704,200.85408,207.6192
router,17,239.81184,200.6208,228.14784
router,18,244.01088,212.51808,228.14784
router,19,236.7792,196.18848,212.51808
router,20,238.87872,212.98464,212.51808
